	Ecoli	Listeria	Shigellia
OG0000000	sp|P0AEE5|DGAL_ECOLI, sp|P31058|YADC_ECOLI		tr|F5NPK9|F5NPK9_SHIFL, tr|F5NPU0|F5NPU0_SHIFL, tr|F5NQ05|F5NQ05_SHIFL, tr|F5NQ73|F5NQ73_SHIFL, tr|F5NQC7|F5NQC7_SHIFL, tr|F5NQH6|F5NQH6_SHIFL, tr|F5NQI1|F5NQI1_SHIFL, tr|F5NQW3|F5NQW3_SHIFL, tr|F5NR02|F5NR02_SHIFL, tr|F5NR54|F5NR54_SHIFL, tr|F5NRB6|F5NRB6_SHIFL, tr|F5NRC1|F5NRC1_SHIFL, tr|F5NRC5|F5NRC5_SHIFL, tr|F5NRP8|F5NRP8_SHIFL, tr|F5NRQ2|F5NRQ2_SHIFL, tr|F5NRT3|F5NRT3_SHIFL, tr|F5NRY9|F5NRY9_SHIFL, tr|F5NS22|F5NS22_SHIFL, tr|F5NS27|F5NS27_SHIFL, tr|F5NS59|F5NS59_SHIFL, tr|F5NSK8|F5NSK8_SHIFL, tr|F5NSS4|F5NSS4_SHIFL, tr|F5NSS9|F5NSS9_SHIFL, tr|F5NT67|F5NT67_SHIFL, tr|F5NT72|F5NT72_SHIFL, tr|F5NTE7|F5NTE7_SHIFL, tr|F5NTR0|F5NTR0_SHIFL, tr|F5NTT4|F5NTT4_SHIFL, tr|F5NTW3|F5NTW3_SHIFL, tr|F5NTX8|F5NTX8_SHIFL, tr|F5NTY8|F5NTY8_SHIFL, tr|F5NTZ6|F5NTZ6_SHIFL, tr|F5NU59|F5NU59_SHIFL, tr|F5NU67|F5NU67_SHIFL, tr|F5NUA2|F5NUA2_SHIFL, tr|F5NUE7|F5NUE7_SHIFL, tr|F5NUG2|F5NUG2_SHIFL, tr|F5NUH4|F5NUH4_SHIFL, tr|F5NUP0|F5NUP0_SHIFL, tr|F5NUQ2|F5NUQ2_SHIFL, tr|F5NUQ5|F5NUQ5_SHIFL, tr|F5NUQ9|F5NUQ9_SHIFL, tr|F5NUS3|F5NUS3_SHIFL, tr|F5NVC6|F5NVC6_SHIFL, tr|F5NVL6|F5NVL6_SHIFL, tr|F5NVM1|F5NVM1_SHIFL, tr|F5NVS6|F5NVS6_SHIFL, tr|F5NW74|F5NW74_SHIFL, tr|F5NW85|F5NW85_SHIFL, tr|F5NWB3|F5NWB3_SHIFL, tr|F5NWK6|F5NWK6_SHIFL, tr|F5NWM0|F5NWM0_SHIFL, tr|F5NWV7|F5NWV7_SHIFL, tr|F5NX63|F5NX63_SHIFL, tr|F5NX75|F5NX75_SHIFL, tr|F5NX96|F5NX96_SHIFL, tr|F5NXA6|F5NXA6_SHIFL, tr|F5NY44|F5NY44_SHIFL, tr|F5NYC7|F5NYC7_SHIFL, tr|F5NYJ2|F5NYJ2_SHIFL, tr|F5NYJ7|F5NYJ7_SHIFL, tr|F5NYY8|F5NYY8_SHIFL, tr|F5NZ01|F5NZ01_SHIFL, tr|F5NZ35|F5NZ35_SHIFL, tr|F5NZA1|F5NZA1_SHIFL, tr|F5NZA4|F5NZA4_SHIFL, tr|F5NZP0|F5NZP0_SHIFL, tr|F5NZX4|F5NZX4_SHIFL, tr|F5NZY1|F5NZY1_SHIFL, tr|F5P0G5|F5P0G5_SHIFL, tr|F5P0L7|F5P0L7_SHIFL, tr|F5P0N0|F5P0N0_SHIFL, tr|F5P0U0|F5P0U0_SHIFL, tr|F5P169|F5P169_SHIFL, tr|F5P186|F5P186_SHIFL, tr|F5P1B3|F5P1B3_SHIFL, tr|F5P1P1|F5P1P1_SHIFL, tr|F5P1Q3|F5P1Q3_SHIFL, tr|F5P250|F5P250_SHIFL, tr|F5P261|F5P261_SHIFL, tr|F5P2C7|F5P2C7_SHIFL, tr|F5P2F4|F5P2F4_SHIFL, tr|F5P2I2|F5P2I2_SHIFL, tr|F5P2N8|F5P2N8_SHIFL, tr|F5P2T4|F5P2T4_SHIFL, tr|F5P3G2|F5P3G2_SHIFL, tr|F5P3I5|F5P3I5_SHIFL, tr|F5P3T2|F5P3T2_SHIFL, tr|F5P3Y4|F5P3Y4_SHIFL, tr|F5P425|F5P425_SHIFL, tr|F5P449|F5P449_SHIFL, tr|F5P487|F5P487_SHIFL, tr|F5P4H9|F5P4H9_SHIFL
OG0000001	sp|P0CF25|INSB1_ECOLI, sp|P0CF26|INSB2_ECOLI, sp|P0CF27|INSB3_ECOLI, sp|P0CF28|INSB5_ECOLI, sp|P0CF29|INSB6_ECOLI, sp|P57998|INSB4_ECOLI		tr|F5NQC6|F5NQC6_SHIFL, tr|F5NQI0|F5NQI0_SHIFL, tr|F5NQP0|F5NQP0_SHIFL, tr|F5NQV5|F5NQV5_SHIFL, tr|F5NQW2|F5NQW2_SHIFL, tr|F5NR55|F5NR55_SHIFL, tr|F5NR72|F5NR72_SHIFL, tr|F5NSS8|F5NSS8_SHIFL, tr|F5NTW2|F5NTW2_SHIFL, tr|F5NU60|F5NU60_SHIFL, tr|F5NUQ1|F5NUQ1_SHIFL, tr|F5NUQ6|F5NUQ6_SHIFL, tr|F5NUQ8|F5NUQ8_SHIFL, tr|F5NVC5|F5NVC5_SHIFL, tr|F5NX64|F5NX64_SHIFL, tr|F5NX95|F5NX95_SHIFL, tr|F5NYY9|F5NYY9_SHIFL, tr|F5NZ36|F5NZ36_SHIFL, tr|F5P036|F5P036_SHIFL, tr|F5P0L8|F5P0L8_SHIFL, tr|F5P185|F5P185_SHIFL, tr|F5P260|F5P260_SHIFL, tr|F5P432|F5P432_SHIFL, tr|F5P465|F5P465_SHIFL, tr|F5P488|F5P488_SHIFL
OG0000002	sp|P0CF53|INSD1_ECOLI, sp|P0CF54|INSD2_ECOLI, sp|P0CF55|INSD3_ECOLI, sp|P0CF56|INSD4_ECOLI, sp|P0CF57|INSD5_ECOLI, sp|P0CF58|INSD6_ECOLI, sp|P0CF60|INSD8_ECOLI		tr|F5NPZ7|F5NPZ7_SHIFL, tr|F5NQM1|F5NQM1_SHIFL, tr|F5NQW5|F5NQW5_SHIFL, tr|F5NRG8|F5NRG8_SHIFL, tr|F5NRQ6|F5NRQ6_SHIFL, tr|F5NSW6|F5NSW6_SHIFL, tr|F5NTB2|F5NTB2_SHIFL, tr|F5NU21|F5NU21_SHIFL, tr|F5NU28|F5NU28_SHIFL, tr|F5NV90|F5NV90_SHIFL, tr|F5NVE1|F5NVE1_SHIFL, tr|F5NW41|F5NW41_SHIFL, tr|F5NWI9|F5NWI9_SHIFL, tr|F5NXG5|F5NXG5_SHIFL, tr|F5NXI3|F5NXI3_SHIFL, tr|F5NYD2|F5NYD2_SHIFL, tr|F5NZG3|F5NZG3_SHIFL, tr|F5P041|F5P041_SHIFL, tr|F5P0K4|F5P0K4_SHIFL, tr|F5P0L2|F5P0L2_SHIFL, tr|F5P181|F5P181_SHIFL, tr|F5P242|F5P242_SHIFL, tr|F5P3A5|F5P3A5_SHIFL, tr|F5P3U5|F5P3U5_SHIFL
OG0000003	sp|P03835|INSG_ECOLI		tr|F5NPQ8|F5NPQ8_SHIFL, tr|F5NQ53|F5NQ53_SHIFL, tr|F5NRH0|F5NRH0_SHIFL, tr|F5NS81|F5NS81_SHIFL, tr|F5NSN5|F5NSN5_SHIFL, tr|F5NTI6|F5NTI6_SHIFL, tr|F5NV28|F5NV28_SHIFL, tr|F5NV44|F5NV44_SHIFL, tr|F5NXC2|F5NXC2_SHIFL, tr|F5NXH4|F5NXH4_SHIFL, tr|F5NXN8|F5NXN8_SHIFL, tr|F5NXP5|F5NXP5_SHIFL, tr|F5NY72|F5NY72_SHIFL, tr|F5NYC4|F5NYC4_SHIFL, tr|F5NYL5|F5NYL5_SHIFL, tr|F5NYM0|F5NYM0_SHIFL, tr|F5NYM1|F5NYM1_SHIFL, tr|F5NZ06|F5NZ06_SHIFL, tr|F5NZH1|F5NZH1_SHIFL, tr|F5NZJ6|F5NZJ6_SHIFL, tr|F5P016|F5P016_SHIFL, tr|F5P086|F5P086_SHIFL, tr|F5P194|F5P194_SHIFL, tr|F5P1D5|F5P1D5_SHIFL, tr|F5P1J1|F5P1J1_SHIFL, tr|F5P205|F5P205_SHIFL, tr|F5P3V7|F5P3V7_SHIFL
OG0000004	sp|P76321|YEDN_ECOLI		tr|F5NQJ9|F5NQJ9_SHIFL, tr|F5NQX7|F5NQX7_SHIFL, tr|F5NS32|F5NS32_SHIFL, tr|F5NS33|F5NS33_SHIFL, tr|F5NUB6|F5NUB6_SHIFL, tr|F5NVE3|F5NVE3_SHIFL, tr|F5NVK6|F5NVK6_SHIFL, tr|F5NWD7|F5NWD7_SHIFL, tr|F5NWD8|F5NWD8_SHIFL, tr|F5NWD9|F5NWD9_SHIFL, tr|F5NWE0|F5NWE0_SHIFL, tr|F5NX18|F5NX18_SHIFL, tr|F5NXG3|F5NXG3_SHIFL, tr|F5NY62|F5NY62_SHIFL, tr|F5P231|F5P231_SHIFL
OG0000005	sp|P24177|ACRD_ECOLI, sp|P24181|ACRF_ECOLI, sp|P31224|ACRB_ECOLI, sp|P37637|MDTF_ECOLI, sp|P76398|MDTB_ECOLI, sp|P76399|MDTC_ECOLI		tr|F5NRH8|F5NRH8_SHIFL, tr|F5NWT6|F5NWT6_SHIFL, tr|F5NWT9|F5NWT9_SHIFL, tr|F5NWU0|F5NWU0_SHIFL, tr|F5NWU1|F5NWU1_SHIFL, tr|F5NWU2|F5NWU2_SHIFL, tr|F5NXW0|F5NXW0_SHIFL, tr|F5P0G9|F5P0G9_SHIFL, tr|F5P0H1|F5P0H1_SHIFL
OG0000006	sp|P07109|HISP_ECOLI, sp|P0AAG3|GLTL_ECOLI, sp|P10346|GLNQ_ECOLI, sp|P37774|YECC_ECOLI, sp|P45769|YHDZ_ECOLI	tr|Q8Y4T6|Q8Y4T6_LISMO, tr|Q8Y526|Q8Y526_LISMO, tr|Q8Y6E8|Q8Y6E8_LISMO, tr|Q8Y8P8|Q8Y8P8_LISMO	tr|F5NRZ5|F5NRZ5_SHIFL, tr|F5NS87|F5NS87_SHIFL, tr|F5NVX7|F5NVX7_SHIFL, tr|F5NXQ7|F5NXQ7_SHIFL, tr|F5P0H9|F5P0H9_SHIFL
OG0000007		sp|P0DJM0|INLA_LISMO, sp|P25147|INLB_LISMO, sp|Q8YA32|INLI_LISMO, tr|Q7AP86|Q7AP86_LISMO, tr|Q7AP87|Q7AP87_LISMO, tr|Q7AP88|Q7AP88_LISMO, tr|Q8Y4H2|Q8Y4H2_LISMO, tr|Q8Y4J3|Q8Y4J3_LISMO, tr|Q8Y5N0|Q8Y5N0_LISMO, tr|Q8Y6A8|Q8Y6A8_LISMO, tr|Q8Y8U2|Q8Y8U2_LISMO, tr|Q8Y9C2|Q8Y9C2_LISMO, tr|Q8Y9W0|Q8Y9W0_LISMO, tr|Q8YAF5|Q8YAF5_LISMO	
OG0000008	sp|P0AAE0|CYCA_ECOLI, sp|P0AAE2|PROY_ECOLI, sp|P15993|AROP_ECOLI, sp|P24207|PHEP_ECOLI, sp|P27837|YIFK_ECOLI	tr|Q8Y8V5|Q8Y8V5_LISMO	tr|F5NQ40|F5NQ40_SHIFL, tr|F5NQE9|F5NQE9_SHIFL, tr|F5NRR9|F5NRR9_SHIFL, tr|F5P1L1|F5P1L1_SHIFL, tr|F5P3F5|F5P3F5_SHIFL
OG0000009	sp|P11988|BGLB_ECOLI, sp|P24240|ASCB_ECOLI, sp|Q46829|BGLA_ECOLI	tr|Q7AP84|Q7AP84_LISMO, tr|Q8Y3R2|Q8Y3R2_LISMO, tr|Q8Y8I5|Q8Y8I5_LISMO, tr|Q8YA94|Q8YA94_LISMO, tr|Q8YAU5|Q8YAU5_LISMO	tr|F5NYU1|F5NYU1_SHIFL, tr|F5NZT5|F5NZT5_SHIFL, tr|F5P1X4|F5P1X4_SHIFL
